Linhas	Bytes	% Linhas	% Bytes
19	1064.96	0.05	0.07
38	873.0	0.1	0.06
76	2570.24	0.2	0.18
28	869.0	0.07	0.06
412	14143.4	1.06	0.99
285	4469.24	0.73	0.31
32	817.0	0.08	0.06
340	9038.0	0.87	0.64
13	190.0	0.03	0.01
12	243.0	0.03	0.02
12	242.0	0.03	0.02
2	63.0	0.01	0.0
191	6778.759999999998	0.49	0.48
7900	275348.88	20.31	19.35
27	522.0	0.07	0.04
224	5203.92	0.58	0.37
68	2160.64	0.17	0.15
543	22097.92	1.4	1.55
4	95744.0	0.01	6.73
1205	35041.32000000001	3.1	2.46
158	5219.0	0.41	0.37
1999	55701.079999999994	5.14	3.91
1943	63023.119999999995	5.0	4.43
122	3850.24	0.31	0.27
7	147.0	0.02	0.01
73	2157.24	0.19	0.15
101	4843.0	0.26	0.34
66	1945.6	0.17	0.14
29	474.0	0.07	0.03
15645	466776.8	40.23	32.81
7309	260096.0	18.79	18.28
3	80896.0	0.01	5.69
3	87.0	0.01	0.01
3	156.0	0.01	0.01
